orbit_id,start_n,odd_step_index,is_terminal,n,A,B,C,D,a11,a13,a31,a33,n_mod_3,n_mod_4,n_mod_8,n_mod_16,n_mod_32,n_mod_64,actual_mode,actual_next,actual_direction,missing_down_count,missing_up_count,best_hidden_value,best_hidden_mode,reset_value,sheet_alternative,actual_sheet,alternate_sheet,reset_ratio_num,reset_ratio_den,delta_reset_log2,hidden_ratio_num,hidden_ratio_den,delta_hidden_log2,cum_reset_deficit_before,cum_reset_deficit_after,cum_hidden_deficit_before,cum_hidden_deficit_after,height_g,epsilon,eta,cum_height_g
NAMED_27,27,27,0,1619,405,811,2429,1215,2,1,1,2,2,3,3,3,19,19,"(3,1)",2429,UP,3,0,405,A,405,1215,NON3,MULT3,2429,405,2.5843686768638765,2429,405,2.5843686768638765,71.571999594183,74.15636827104687,84.4050125617379,86.98938123860178,0.5852595043332991,-0.5849625007211561,0.0002970036121428721,6.491259272472396
NAMED_27,27,28,0,2429,1215,19,911,3645,1,7,3,1,2,1,5,13,29,61,"(3,1)",911,FOLD,2,1,19,B,1215,3645,NON3,MULT3,911,1215,-0.41543335469109266,911,19,5.583379730358466,74.15636827104687,73.74093491635578,86.98938123860178,92.57276096896024,-1.4148395308338142,1.415037499278844,0.00019796844502952557,5.076419741638582
NAMED_27,27,29,0,911,57,457,1367,171,4,1,1,4,2,3,7,15,15,15,"(3,1)",1367,UP,3,0,57,A,57,171,NON3,MULT3,1367,57,4.583907513441318,1367,57,4.583907513441318,73.74093491635578,78.3248424297971,92.57276096896024,97.15666848240156,0.5854902838040092,-0.5849625007211561,0.000527783082853132,5.661910025442591
NAMED_27,27,30,0,1367,171,685,2051,513,3,1,1,3,2,3,7,7,23,23,"(3,1)",2051,UP,3,0,171,A,171,513,NON3,MULT3,2051,171,3.584259261593954,2051,171,3.584259261593954,78.3248424297971,81.90910169139106,97.15666848240156,100.74092774399551,0.5853142488737921,-0.5849625007211561,0.0003517481526356517,6.247224274316383
NAMED_27,27,31,0,2051,513,1027,3077,1539,2,1,1,2,2,3,3,3,3,3,"(3,1)",3077,UP,3,0,513,A,513,1539,NON3,MULT3,3077,513,2.5844937127264913,3077,513,2.5844937127264913,81.90910169139106,84.49359540411754,100.74092774399551,103.32542145672201,0.5851969518536928,-0.5849625007211561,0.0002344511325365936,6.832421226170076
NAMED_27,27,32,0,3077,1539,385,577,4617,1,3,4,1,2,1,5,5,5,5,"(3,1)",577,FOLD,2,1,385,B,1539,4617,NON3,MULT3,577,1539,-1.4153500076827275,577,385,0.5837128730632184,84.49359540411754,83.07824539643481,103.32542145672201,103.90913432978523,-2.4148812196880622,2.415037499278844,0.000156279590781616,4.417540006482014
NAMED_27,27,33,0,577,289,145,433,867,1,2,2,1,1,1,1,1,1,1,"(3,1)",433,FOLD,2,1,145,B,289,867,NON3,MULT3,433,289,0.5832975322260463,433,145,1.57831412471179,83.07824539643481,83.66154292866085,103.90913432978523,105.48744845449703,-0.41420429391875757,0.4150374992788439,0.0008332053600863418,4.003335712563256
NAMED_27,27,34,0,433,217,109,325,651,1,2,2,1,1,1,1,1,17,49,"(3,1)",325,FOLD,2,1,109,B,217,651,NON3,MULT3,325,217,0.5827446754713366,325,109,1.57611158313889,83.66154292866085,84.24428760413218,105.48744845449703,107.06356003763592,-0.41392730681090817,0.4150374992788439,0.0011101924679357003,3.589408405752348
NAMED_27,27,35,0,325,163,41,61,489,1,3,4,1,1,1,5,5,5,5,"(3,1)",61,FOLD,2,1,41,B,163,489,NON3,MULT3,61,163,-1.4179908166681905,61,41,0.5731853329448029,84.24428760413218,82.82629678746399,107.06356003763592,107.63674537058073,-2.4135585703529303,2.415037499278844,0.0014789289259132977,1.1758498353994176
NAMED_27,27,36,0,61,31,1,23,93,1,6,3,1,1,1,5,13,29,61,"(3,1)",23,FOLD,2,1,1,B,31,93,NON3,MULT3,23,31,-0.43063435432986186,23,1,4.523561956057013,82.82629678746399,82.39566243313412,107.63674537058073,112.16030732663774,-1.4071753815058734,1.415037499278844,0.007862117772970424,-0.23132554610645584
NAMED_27,27,37,0,23,3,13,35,9,3,1,1,3,2,3,7,7,23,23,"(3,1)",35,UP,3,0,3,A,3,9,NON3,MULT3,35,3,3.5443205162238103,35,3,3.5443205162238103,82.39566243313412,85.93998294935793,112.16030732663774,115.70462784286154,0.6057210608879537,-0.5849625007211561,0.020758560166797495,0.3743955147814979
NAMED_27,27,38,0,35,9,19,53,27,2,1,1,2,2,3,3,3,3,35,"(3,1)",53,UP,3,0,9,A,9,27,NON3,MULT3,53,9,2.5579954531208866,53,9,2.5579954531208866,85.93998294935793,88.49797840247881,115.70462784286154,118.26262329598242,0.5986374376182326,-0.5849625007211561,0.013674936897076493,0.9730329523997305
NAMED_27,27,39,0,53,27,7,5,81,1,3,5,1,2,1,5,5,21,53,"(3,1)",5,FOLD,2,1,7,B,27,81,NON3,MULT3,5,27,-2.432959407276106,5,7,-0.485426827170242,88.49797840247881,86.0650189952027,118.26262329598242,117.77719646881218,-3.405992359675837,3.415037499278844,0.009045139603006985,-2.4329594072761065
NAMED_27,27,40,0,5,3,1,1,9,1,3,4,1,2,1,5,5,5,5,"(3,1)",1,FOLD,2,1,1,B,3,9,NON3,MULT3,1,3,-1.584962500721156,1,1,0.0,86.0650189952027,84.48005649448154,117.77719646881218,117.77719646881218,-2.321928094887362,2.415037499278844,0.09310940439148145,-4.754887502163468
