orbit_id,tier,start_n,status,odd_steps_to_1,terminal_or_cap_state,max_odd_value,max_up_burst,max_critical_alphabet_run,max_critical_grammar_run,first_critical_break_type,count_U1,count_F2,count_F3,count_F4P,fraction_mod8_1,fraction_mod8_3,fraction_mod8_5,fraction_mod8_7,max_cum_reset_deficit,min_cum_reset_deficit,final_cum_reset_deficit,max_cum_best_hidden_deficit,final_cum_best_hidden_deficit,height_cocycle_sum,height_cocycle_endpoint_log2,height_cocycle_error,critical_windows_L8,critical_windows_L16,critical_windows_L32,critical_windows_L64,alphabet_windows_L8,alphabet_windows_L16,alphabet_windows_L32,alphabet_windows_L64
C_43721,TIER_C_RANDOM_1E12,54890188895,REACHED_1,113,1,277881581285,6,14,10,CRITICAL_FORBIDDEN_GRAMMAR,58,34,6,15,0.3008849557522124,0.26548672566371684,0.18584070796460178,0.24778761061946902,191.6903892596811,0.0,187.67246735168382,280.49149770100576,280.00607087383554,-35.67582925297769,-35.67582925297769,0.0,3,0,0,0,19,0,0,0
C_43722,TIER_C_RANDOM_1E12,772600708241,REACHED_1,50,1,772600708241,3,5,4,DEEP_FOLD,18,14,8,10,0.28,0.26,0.36,0.1,35.822881131167634,0.0,33.752491803276236,94.83649433438926,94.83649433438926,-39.490932043846115,-39.490932043846115,0.0,0,0,0,0,0,0,0,0
C_43723,TIER_C_RANDOM_1E12,351847310167,REACHED_1,199,1,18530390921813,6,18,7,CRITICAL_FORBIDDEN_GRAMMAR,114,50,17,18,0.25125628140703515,0.24120603015075376,0.17587939698492464,0.3316582914572864,391.9715970727855,0.0,387.9536751647883,548.7776377454691,548.2922109182988,-38.35615852757799,-38.35615852757799,0.0,0,0,0,0,43,4,0,0
C_43724,TIER_C_RANDOM_1E12,139485009135,REACHED_1,102,1,28988966585969,7,21,6,CRITICAL_FORBIDDEN_GRAMMAR,62,17,8,15,0.16666666666666666,0.21568627450980393,0.22549019607843138,0.39215686274509803,215.14537483168684,0.0,213.07498550379543,299.1350863099419,299.1350863099419,-37.021319123459,-37.021319123459,0.0,0,0,0,0,27,6,0,0
C_43725,TIER_C_RANDOM_1E12,43602500853,REACHED_1,40,1,43602500853,4,5,3,DEEP_FOLD,16,6,8,10,0.15,0.225,0.45,0.175,32.97942015197404,-2.4150374993009045,30.90903082408264,84.00449143098626,84.00449143098626,-35.343691833067346,-35.343691833067346,0.0,0,0,0,0,0,0,0,0
C_43726,TIER_C_RANDOM_1E12,396123174699,REACHED_1,115,1,594184762049,7,10,5,DEEP_FOLD,64,21,16,14,0.1826086956521739,0.25217391304347825,0.2608695652173913,0.30434782608695654,209.90248245546695,0.0,205.88456054746968,328.7684149482435,328.2829881210733,-38.52715815057103,-38.52715815057104,7.105427357601002e-15,0,0,0,0,7,0,0,0
C_43727,TIER_C_RANDOM_1E12,88082610549,REACHED_1,81,1,88082610549,5,16,6,DEEP_FOLD,38,22,11,10,0.2716049382716049,0.2345679012345679,0.25925925925925924,0.2345679012345679,116.8994277189728,-10.660149998976898,112.88150581097554,197.57607442386342,197.09064759669317,-36.358138176294126,-36.358138176294126,0.0,0,0,0,0,12,1,0,0
C_43728,TIER_C_RANDOM_1E12,195241851297,REACHED_1,103,1,263874116765,12,19,7,CRITICAL_FORBIDDEN_GRAMMAR,56,18,15,14,0.17475728155339806,0.24271844660194175,0.2815533980582524,0.30097087378640774,225.8616755049589,0.0,223.7912861770675,329.8575354483949,329.8575354483949,-37.506471380406175,-37.506471380406175,0.0,0,0,0,0,17,4,0,0
C_43729,TIER_C_RANDOM_1E12,34109591683,REACHED_1,32,1,51164387525,4,5,3,DEEP_FOLD,13,6,3,10,0.1875,0.21875,0.40625,0.1875,21.239006785390284,-0.24511249798378287,19.16861745749889,54.31259252646209,54.31259252646209,-34.989458433803335,-34.989458433803335,0.0,0,0,0,0,0,0,0,0
C_43730,TIER_C_RANDOM_1E12,562592386019,REACHED_1,49,1,843888579029,7,9,4,DEEP_FOLD,17,14,10,8,0.2857142857142857,0.1836734693877551,0.3673469387755102,0.16326530612244897,51.16005507866403,-1.8300749985605336,49.08966575077263,115.13560282049599,115.13560282049599,-39.03329907148121,-39.03329907148121,0.0,0,0,0,0,2,0,0,0
