metric,rank,start_n,value,status,odd_steps_to_1,max_odd_value,max_up_burst,max_critical_alphabet_run,max_critical_grammar_run,first_break_type
max_up_burst,8,654619,18.0,REACHED_1,69,2324522933,18,18,4,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,9,581883,18.0,REACHED_1,71,2324522933,18,18,5,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,10,524287,18.0,REACHED_1,61,774840977,18,19,4,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,11,459759,18.0,REACHED_1,75,2324522933,18,18,4,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,12,786431,17.0,REACHED_1,60,774840977,17,18,4,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,13,262143,17.0,REACHED_1,80,523608245,17,17,5,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,14,981927,16.0,REACHED_1,87,523608245,16,16,5,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,15,981913,16.0,REACHED_1,87,523608245,16,32,5,DEEP_FOLD
max_up_burst,16,981911,16.0,REACHED_1,87,523608245,16,33,5,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,17,968697,16.0,REACHED_1,99,523608245,16,31,6,DEEP_FOLD
max_up_burst,18,920559,16.0,REACHED_1,111,1838733965,16,16,6,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,19,919507,16.0,REACHED_1,94,523608245,16,31,5,DEEP_FOLD
max_up_burst,20,917503,16.0,REACHED_1,46,602654093,16,16,4,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,21,872815,16.0,REACHED_1,89,523608245,16,31,5,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,22,872811,16.0,REACHED_1,89,523608245,16,32,5,DEEP_FOLD
max_up_burst,23,872809,16.0,REACHED_1,89,523608245,16,33,5,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,24,828493,16.0,REACHED_1,84,523608245,16,31,5,DEEP_FOLD
max_up_burst,25,817339,16.0,REACHED_1,96,523608245,16,31,5,DEEP_FOLD
max_up_burst,26,775835,16.0,REACHED_1,91,523608245,16,31,5,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,27,736435,16.0,REACHED_1,86,523608245,16,32,5,DEEP_FOLD
max_up_burst,28,736433,16.0,REACHED_1,86,523608245,16,33,5,DEEP_FOLD
max_up_burst,29,726523,16.0,REACHED_1,98,523608245,16,31,5,DEEP_FOLD
max_up_burst,30,699045,16.0,REACHED_1,81,523608245,16,29,5,DEEP_FOLD
max_up_burst,31,689631,16.0,REACHED_1,93,523608245,16,31,5,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,32,655359,16.0,REACHED_1,105,1838733965,16,23,6,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,33,654607,16.0,REACHED_1,88,523608245,16,33,5,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,34,552325,16.0,REACHED_1,85,523608245,16,33,5,DEEP_FOLD
max_up_burst,35,517223,16.0,REACHED_1,92,523608245,16,31,5,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,36,490955,16.0,REACHED_1,87,523608245,16,33,5,DEEP_FOLD
max_up_burst,37,466029,16.0,REACHED_1,82,523608245,16,30,5,DEEP_FOLD
max_up_burst,38,459753,16.0,REACHED_1,94,523608245,16,31,5,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,39,414245,16.0,REACHED_1,84,523608245,16,32,5,DEEP_FOLD
max_up_burst,40,393215,16.0,REACHED_1,79,523608245,16,16,5,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,41,368217,16.0,REACHED_1,86,523608245,16,32,5,DEEP_FOLD
max_up_burst,42,344815,16.0,REACHED_1,93,523608245,16,31,5,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,43,327303,16.0,REACHED_1,88,523608245,16,33,5,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,44,310685,16.0,REACHED_1,83,523608245,16,31,5,DEEP_FOLD
max_up_burst,45,276163,16.0,REACHED_1,85,523608245,16,32,5,DEEP_FOLD
max_up_burst,46,207123,16.0,REACHED_1,84,523608245,16,31,5,DEEP_FOLD
